system,n,m,seed,run_type,init_kind,objective,initial_required_gain,best_required_gain,final_required_gain,min_pairwise_distance,max_pairwise_distance,steps_run,restart_count,converged,stopped_reason,system_label,reported_value
Cycle,8,7,9.0,random_optimization,random_gaussian,generic,2.5810440009256204,1.0000000008980274,1.0000000008980274,1.0,1.2287470228832282,378,0,True,gain_one_reached,Cycle,exact hard gain
AdjacentSwap,8,1,0.0,random_optimization,random_gaussian,generic,15.641306906756183,4.349522332862441,4.358407530066045,1.0,9.34891212493649,15000,0,False,max_steps,Adjacent transpositions,exact hard gain
AdjacentSwap,8,1,1.0,random_optimization,random_gaussian,generic,27.807231302775783,4.677345765666532,4.681498518947773,1.0,8.786095203013469,15000,0,False,max_steps,Adjacent transpositions,exact hard gain
AdjacentSwap,8,1,2.0,random_optimization,random_gaussian,generic,36.511189564856736,3.731516158665937,3.7353791808971697,1.0,24.39351642595628,15000,0,False,max_steps,Adjacent transpositions,exact hard gain
AdjacentSwap,8,1,3.0,random_optimization,random_gaussian,generic,34.051065924547586,3.429707384929471,3.4333697017542275,1.0,25.22363509177808,15000,0,False,max_steps,Adjacent transpositions,exact hard gain
AdjacentSwap,8,1,4.0,random_optimization,random_gaussian,generic,40.13767299801425,4.510926030430666,4.513782501215995,1.0,10.22543241452245,15000,0,False,max_steps,Adjacent transpositions,exact hard gain
AdjacentSwap,8,1,5.0,random_optimization,random_gaussian,generic,27.80395761024161,3.206573975685469,3.2128094539428,1.0,14.6784700533675,15000,0,False,max_steps,Adjacent transpositions,exact hard gain
AdjacentSwap,8,1,6.0,random_optimization,random_gaussian,generic,20.907115395807224,4.026039295806549,4.03020425792114,1.0,9.965142119305654,15000,0,False,max_steps,Adjacent transpositions,exact hard gain
AdjacentSwap,8,1,7.0,random_optimization,random_gaussian,generic,12.77871467842089,4.245728517684677,4.251413023061394,1.0,27.205319245857225,15000,0,False,max_steps,Adjacent transpositions,exact hard gain
AdjacentSwap,8,1,8.0,random_optimization,random_gaussian,generic,50.53025672109817,4.249400781032115,4.250121922544674,1.0,13.775423735732424,15000,0,False,max_steps,Adjacent transpositions,exact hard gain
AdjacentSwap,8,1,9.0,random_optimization,random_gaussian,generic,64.52137316846812,4.170711118061039,4.176867838271795,1.0,16.18622007547843,15000,0,False,max_steps,Adjacent transpositions,exact hard gain
AdjacentSwap,8,2,0.0,random_optimization,random_gaussian,generic,5.831592957912364,1.577547487559275,1.5793125745413803,1.0000000000000002,6.860210174454193,15000,0,False,max_steps,Adjacent transpositions,exact hard gain
AdjacentSwap,8,2,1.0,random_optimization,random_gaussian,generic,6.502687490735533,1.648135764126297,1.6502902552795655,1.0,6.855978809762279,15000,0,False,max_steps,Adjacent transpositions,exact hard gain
AdjacentSwap,8,2,2.0,random_optimization,random_gaussian,generic,6.062289761737363,1.779192820873873,1.7811709602048464,1.0,5.191209042747876,15000,0,False,max_steps,Adjacent transpositions,exact hard gain
AdjacentSwap,8,2,3.0,random_optimization,random_gaussian,generic,11.026968814533092,1.7330063790969084,1.7347491645387243,1.0,4.725963333861829,15000,0,False,max_steps,Adjacent transpositions,exact hard gain
