system,system_label,n,m,theoretical_L1_threshold,best_optimized_gain,median_optimized_gain,optimized_gain_q1,optimized_gain_q3,optimized_gain_iqr,mean_optimized_gain,std_optimized_gain,analytic_construction_gain,analytic_construction_kind,best_available_upper_bound,best_solution_source,optimized_L1_feasible,analytic_L1_feasible,best_available_L1_feasible,optimized_result_interpretation
AllSwap,Complete transpositions,8,4,7,3.20636060026971,3.20636060026971,3.20636060026971,3.20636060026971,0.0,3.20636060026971,0.0,1.7320508075688772,grid,1.7320508075688772,analytic,False,False,False,empirical upper bound on the dimension--gain profile
AllSwap,Complete transpositions,8,5,7,2.6730790848054253,2.6730790848054253,2.6730790848054253,2.6730790848054253,0.0,2.6730790848054253,0.0,1.7320508075688772,grid,1.7320508075688772,analytic,False,False,False,empirical upper bound on the dimension--gain profile
AllSwap,Complete transpositions,8,6,7,3.61491661452867,3.61491661452867,3.61491661452867,3.61491661452867,0.0,3.61491661452867,0.0,1.7320508075688772,grid,1.7320508075688772,analytic,False,False,False,empirical upper bound on the dimension--gain profile
AllSwap,Complete transpositions,8,7,7,2.302429431525516,2.302429431525516,2.302429431525516,2.302429431525516,0.0,2.302429431525516,0.0,1.000000000000001,regular_simplex,1.000000000000001,analytic,False,True,True,empirical upper bound on the dimension--gain profile
AllSwap,Complete transpositions,10,1,9,17.009178173629483,17.009178173629483,17.009178173629483,17.009178173629483,0.0,17.009178173629483,0.0,9.0,grid,9.0,analytic,False,False,False,empirical upper bound on the dimension--gain profile
AllSwap,Complete transpositions,10,2,9,29.748402583692727,29.748402583692727,29.748402583692727,29.748402583692727,0.0,29.748402583692727,0.0,3.605551275463989,grid,3.605551275463989,analytic,False,False,False,empirical upper bound on the dimension--gain profile
AllSwap,Complete transpositions,10,3,9,5.482558080333586,5.482558080333586,5.482558080333586,5.482558080333586,0.0,5.482558080333586,0.0,3.0,grid,3.0,analytic,False,False,False,empirical upper bound on the dimension--gain profile
AllSwap,Complete transpositions,10,4,9,3.3802108730289526,3.3802108730289526,3.3802108730289526,3.3802108730289526,0.0,3.3802108730289526,0.0,2.0,grid,2.0,analytic,False,False,False,empirical upper bound on the dimension--gain profile
AllSwap,Complete transpositions,10,5,9,3.1299331364294063,3.1299331364294063,3.1299331364294063,3.1299331364294063,0.0,3.1299331364294063,0.0,2.0,grid,2.0,analytic,False,False,False,empirical upper bound on the dimension--gain profile
AllSwap,Complete transpositions,10,6,9,4.020614042382057,4.020614042382057,4.020614042382057,4.020614042382057,0.0,4.020614042382057,0.0,2.0,grid,2.0,analytic,False,False,False,empirical upper bound on the dimension--gain profile
AllSwap,Complete transpositions,10,7,9,2.146025923826301,2.146025923826301,2.146025923826301,2.146025923826301,0.0,2.146025923826301,0.0,2.0,grid,2.0,analytic,False,False,False,empirical upper bound on the dimension--gain profile
AllSwap,Complete transpositions,10,8,9,2.560113244752851,2.560113244752851,2.560113244752851,2.560113244752851,0.0,2.560113244752851,0.0,2.0,grid,2.0,analytic,False,False,False,empirical upper bound on the dimension--gain profile
AllSwap,Complete transpositions,10,9,9,2.5001424508143706,2.5001424508143706,2.5001424508143706,2.5001424508143706,0.0,2.5001424508143706,0.0,1.000000000000001,regular_simplex,1.000000000000001,analytic,False,True,True,empirical upper bound on the dimension--gain profile
