system_public,system,n,m,best_optimized_gain,median_optimized_gain,optimized_gain_q1,optimized_gain_q3,optimized_gain_iqr,analytic_construction_gain,analytic_construction_kind,best_available_upper_bound,best_solution_source,theoretical_L1_threshold,optimized_L1_feasible,analytic_L1_feasible,best_available_L1_feasible,oracle_mse_at_L1_monotone_profile,oracle_selected_source_m,oracle_selected_seed,oracle_selected_hard_gain,oracle_selected_run_type,oracle_selected_init_kind,oracle_mse_at_L1_for_best_optimized_seed,oracle_best_optimized_seed,oracle_best_optimized_hard_gain,num_valid_restarts
All-pair actions,AllSwap,6,4,1.22474487156001,1.27025717494422,1.22474487227488,1.27027518167973,0.0455303094048462,1.73205080756888,grid,1.22474487156001,optimized,5,False,False,False,,,,,,,,,,10
All-pair actions,AllSwap,6,5,1.0000000001094,1.00000000050299,1.00000000017969,1.00000000073449,5.54803092356337e-10,1,regular_simplex,1,analytic,5,True,True,True,,,,,,,,,,10
All-pair actions,AllSwap,8,1,5.53585232056866,5.53585232098351,5.53585232073205,5.53585232108872,3.56672913426337e-10,7,grid,5.53585232056866,optimized,7,False,False,False,1.33384353741541,1,,7,analytic construction,grid,2.21365670412876,2,5.53585232056866,10
All-pair actions,AllSwap,8,2,2.32477037253896,2.32709304443153,2.32671075348864,2.32720549427339,0.0004947407847457,2.82842712474619,grid,2.32477037253896,optimized,7,False,False,False,0.164706085988115,2,,2.82842712474619,analytic construction,grid,0.26876043324669,5,2.32477037253896,10
All-pair actions,AllSwap,8,3,1.55596705160247,1.67982536117252,1.55596705169,1.82051359485171,0.264546543161713,1.73205080756888,grid,1.55596705160247,optimized,7,False,False,False,0.0447164865486947,3,7,1.55596705160247,random optimization,random_gaussian,0.0447164865486947,7,1.55596705160247,10
All-pair actions,AllSwap,8,4,1.41421356250106,1.4142135627768,1.41421356262419,1.41421356294094,3.16749293460816e-10,1.73205080756888,grid,1.41421356250106,optimized,7,False,False,False,0.0183828080659288,4,1,1.41421356250106,random optimization,random_gaussian,0.0183828080659288,1,1.41421356250106,10
All-pair actions,AllSwap,8,5,1.30433316272541,1.30609686567747,1.3059791039566,1.30625948225128,0.0002803782946829,1.73205080756888,grid,1.30433316272541,optimized,7,False,False,False,0.0117861581190426,5,6,1.30433316272541,random optimization,random_gaussian,0.0117861581190426,6,1.30433316272541,10
All-pair actions,AllSwap,8,6,1.154700538386,1.15470053882774,1.15470053860023,1.16697416568591,0.0122736270856766,1.73205080756888,grid,1.154700538386,optimized,7,False,False,False,0.003533245646199,6,3,1.154700538386,random optimization,random_gaussian,0.003533245646199,3,1.154700538386,10
All-pair actions,AllSwap,8,7,1.00000000000124,1.00000000048945,1.00000000034381,1.00000000068557,3.41762174116411e-10,1,regular_simplex,1,analytic,7,True,True,True,0,7,,1,analytic construction,regular_simplex,0,7,1.00000000000124,10
All-pair actions,AllSwap,10,1,6.98268833557908,6.98268833706498,6.98268833632578,6.98268833741757,1.09179332241638e-09,9,grid,6.98268833557908,optimized,9,False,False,False,,,,,,,,,,10
All-pair actions,AllSwap,10,2,2.55909671684391,2.56052069819344,2.55944830392759,2.5608628360301,0.0014145321025029,3.60555127546399,grid,2.55909671684391,optimized,9,False,False,False,,,,,,,,,,10
All-pair actions,AllSwap,10,3,1.7775910066093,1.85648748549833,1.85641149510251,1.86109137150633,0.0046798764038145,3,grid,1.7775910066093,optimized,9,False,False,False,,,,,,,,,,10
All-pair actions,AllSwap,10,4,1.41421356243441,1.41421356280208,1.41421356256936,1.41421356311561,5.46252820754489e-10,2,grid,1.41421356243441,optimized,9,False,False,False,,,,,,,,,,10
All-pair actions,AllSwap,10,5,1.41421356244938,1.4142135629495,1.41421356279966,1.41421356309467,2.95016899798384e-10,2,grid,1.41421356244938,optimized,9,False,False,False,,,,,,,,,,10
All-pair actions,AllSwap,10,6,1.30546790947757,1.30606362669263,1.3058706156582,1.30621610782026,0.0003454921620602,2,grid,1.30546790947757,optimized,9,False,False,False,,,,,,,,,,10
All-pair actions,AllSwap,10,7,1.2123555047269,1.21467174789303,1.21438240095912,1.21520415412284,0.0008217531637173,2,grid,1.2123555047269,optimized,9,False,False,False,,,,,,,,,,10
All-pair actions,AllSwap,10,8,1.11803398876076,1.11803398921665,1.11803398900993,1.11803398958732,5.77389913658521e-10,2,grid,1.11803398876076,optimized,9,False,False,False,,,,,,,,,,10
