system,n,source_m,run_type,init_kind,seed,exact_hard_required_gain,gain_budget_L,oracle_mse_at_L1,oracle_num_actions,oracle_max_constraint_violation
Adjacent pair actions,8,1,random optimization,random_gaussian,5,3.20657397568547,1,2.3215366285067,7,2.54019028034236e-13
Adjacent pair actions,8,1,random optimization,random_gaussian,6,4.02603929580655,1,1.94512699426117,7,9.41469124882133e-14
Adjacent pair actions,8,1,random optimization,random_gaussian,7,4.24572851768468,1,16.250371735934,7,2.41873188144837e-12
Adjacent pair actions,8,1,random optimization,random_gaussian,8,4.24940078103211,1,3.58192550605824,7,5.99520433297585e-15
Adjacent pair actions,8,1,random optimization,random_gaussian,9,4.17071111806104,1,5.50771663262086,7,5.12478948166972e-13
Adjacent pair actions,8,2,random optimization,random_gaussian,0,1.57754748755927,1,0.526366110436967,7,3.29536398169239e-12
Adjacent pair actions,8,2,random optimization,random_gaussian,1,1.6481357641263,1,0.418150454082108,7,1.81610282368183e-12
Adjacent pair actions,8,2,random optimization,random_gaussian,2,1.77919282087387,1,0.280694068085728,7,1.17066356608575e-11
Adjacent pair actions,8,2,random optimization,random_gaussian,3,1.73300637909691,1,0.340733047132587,7,6.12976336356041e-12
Adjacent pair actions,8,2,random optimization,random_gaussian,4,1.60545704732312,1,0.26032710876509,7,6.30229202158716e-12
Adjacent pair actions,8,2,random optimization,random_gaussian,5,1.58944830686277,1,0.676016044715652,7,2.50754972341838e-12
Adjacent pair actions,8,2,random optimization,random_gaussian,6,1.61115421559604,1,1.21283137283598,7,7.92033105767587e-13
Adjacent pair actions,8,2,random optimization,random_gaussian,7,1.65663189745863,1,0.140220206583597,7,1.14683817997729e-11
Adjacent pair actions,8,2,random optimization,random_gaussian,8,1.60895944408522,1,0.2373179170756,7,3.05333536232411e-12
Adjacent pair actions,8,2,random optimization,random_gaussian,9,1.56047759899562,1,0.0937518130936806,7,2.10400585842763e-11
Adjacent pair actions,8,3,random optimization,random_gaussian,0,1.31428918223012,1,0.101700788787001,7,3.72168962314845e-12
Adjacent pair actions,8,3,random optimization,random_gaussian,1,1.31581038774219,1,0.172195489344881,7,7.47513162480118e-12
Adjacent pair actions,8,3,random optimization,random_gaussian,2,1.33580378671725,1,0.0402072504939369,7,1.4071632747914e-11
Adjacent pair actions,8,3,random optimization,random_gaussian,3,1.34467227643906,1,0.118405457018939,7,4.40492087250277e-12
Adjacent pair actions,8,3,random optimization,random_gaussian,4,1.31643848810296,1,0.104089420953314,7,3.51829676503712e-12
Adjacent pair actions,8,3,random optimization,random_gaussian,5,1.33645612230546,1,0.139234908427789,7,3.04867242562068e-12
Adjacent pair actions,8,3,random optimization,random_gaussian,6,1.37133959838959,1,0.0437252442262258,7,1.29061206166625e-11
Adjacent pair actions,8,3,random optimization,random_gaussian,7,1.31699356662092,1,0.102541771600255,7,9.28435106573033e-12
Adjacent pair actions,8,3,random optimization,random_gaussian,8,1.3670392339882,1,0.200029034273781,7,2.21045404202869e-12
Adjacent pair actions,8,3,random optimization,random_gaussian,9,1.32953551602115,1,0.0914816762868515,7,5.70410385591913e-12
Adjacent pair actions,8,4,random optimization,random_gaussian,0,1.20699681159903,1,0.0179584692349701,7,6.91602330959995e-12
Adjacent pair actions,8,4,random optimization,random_gaussian,1,1.2327734680921,1,0.047733405736224,7,7.47868433847998e-12
Adjacent pair actions,8,4,random optimization,random_gaussian,2,1.22824620394551,1,0.0297394341883115,7,9.45599154533738e-12
Adjacent pair actions,8,4,random optimization,random_gaussian,3,1.21116800273089,1,0.0212690170749495,7,6.84297063457961e-12
Adjacent pair actions,8,4,random optimization,random_gaussian,4,1.21128961346687,1,0.016543501052992,7,2.93174373666716e-11
Adjacent pair actions,8,4,random optimization,random_gaussian,5,1.22793919114955,1,0.0312944119345975,7,4.07252009893e-12
Adjacent pair actions,8,4,random optimization,random_gaussian,6,1.26290509817199,1,0.0769375124990476,7,3.23518989375771e-12
Adjacent pair actions,8,4,random optimization,random_gaussian,7,1.2118749863168,1,0.0212169927827212,7,4.50661730155844e-12
Adjacent pair actions,8,4,random optimization,random_gaussian,8,1.2513252106928,1,0.0149132926821545,7,8.96882568213186e-12
Adjacent pair actions,8,4,random optimization,random_gaussian,9,1.20653347442076,1,0.0178748761745968,7,2.72226685638088e-12
Adjacent pair actions,8,5,random optimization,random_gaussian,0,1.14923545597535,1,0.00875480576603336,7,4.18620693665162e-12
Adjacent pair actions,8,5,random optimization,random_gaussian,1,1.13260051584339,1,0.00429130432209958,7,1.66520131017478e-11
Adjacent pair actions,8,5,random optimization,random_gaussian,2,1.13675573370561,1,0.00695158640871145,7,6.35602681597902e-12
Adjacent pair actions,8,5,random optimization,random_gaussian,3,1.15843526841046,1,0.00651478341515834,7,1.13371534382622e-11
Adjacent pair actions,8,5,random optimization,random_gaussian,4,1.14968197794053,1,0.00871488007995716,7,5.38191713417291e-12
Adjacent pair actions,8,5,random optimization,random_gaussian,5,1.14337160815903,1,0.00989466242600688,7,6.77524703007748e-12
Adjacent pair actions,8,5,random optimization,random_gaussian,6,1.13092245579076,1,0.00421008303409817,7,2.35458319508552e-11
Adjacent pair actions,8,5,random optimization,random_gaussian,7,1.14979637426409,1,0.00872437656385265,7,4.7759574073325e-12
Adjacent pair actions,8,5,random optimization,random_gaussian,8,1.15928548510276,1,0.00654274446624417,7,9.74154090727097e-12
